text,label
She sings in a choir,0
They went shopping,0
The call is at 5 PM,0
They reside in New York,0
They enjoy reading,0
The weather is fine,0
They have a car,0
They have a family,0
The office is closed on weekends,0
They play music,0
Please tell the jury why you are here,0
The meeting will start soon,0
What time is it?,0
He denied the allegation,0
She said she had done nothing wrong,0
The treasurer denied everything,0
Johnson declined to comment,0
The city manager has not commented,0
Davis denied the allegation and called it a lie,0
A spokesperson said the matter would be investigated,0
A journalist asked about the timeline for the budget vote,0
The mayor's office issued a brief statement,0
Several residents spoke during the public comment period,0
Johnson stated that he would cooperate fully with any inquiry,0
Davis responded that she had done nothing wrong,0
Davis has served on the council for six years,0
Johnson's approval rating stands at 62 percent,0
She previously worked in Phoenix,0
The proposal passed with broad support,0
Several community groups praised the council's transparency,0
The meeting adjourned at noon,0
The vote was unanimous,0
The finance committee will review the numbers next week,0
The parks department budget increased by five percent last year,0
The human resources department has opened a file,0
The city has a population of about 85,000,0
The investigation is expected to take several weeks,0
The audit will be completed by the end of the month,0
The council voted unanimously to approve the sidewalk repair project,0
The campaign finance reports are available for public review,0
Johnson attended the conference in Boston last month,0
The conference focused on municipal governance,0
Several other mayors were in attendance,0
The police department is reviewing the matter,0
The city manager has held the position for three years,0
Her contract runs through 2027,0
The council will hold a special session to discuss personnel,0
The public is welcome to attend,0
Refreshments will be provided,0
Local reporters gathered outside the building after the session,0
The press conference began at 12:30 PM,0
The council chambers were nearly full,0
Davis drives a blue sedan and lives on Oak Street,0
Davis went to the store yesterday to buy supplies for the food bank,0
She has two children and lives in the historic district,0
The restaurant on Main Street is closed on Mondays,0
The meeting room has new chairs,0
Coffee was served during the break,0
Spring flowers are blooming in the city park,0
The library will host a reading event next Saturday,0
Residents can submit comments online,0
Johnson has lived in the city for twenty years,0
He enjoys reading books and walking his dog,0
The dog is a golden retriever named Max,0
The budget includes funding for a new community center,0
Davis proposed the initiative last fall,0
Where does it end?,0
Look at me this kid,0
Why are we all so fascinated with this case?,0
What is the actual truth?,0
Please tell the jury why you're here today,0
And who was the one who wanted the cameras in the courtroom?,0
The meeting is scheduled for Tuesday,0
The report will be released next week,0
No one was available for comment,0
The statement said the allegations were false and defamatory,0
A spokesperson declined to elaborate,0
He refused to answer questions,0
She would not comment on the matter,0
The attorney said his client was innocent,0
The judge adjourned the hearing,0
The trial is set to begin in March,0
The jury deliberated for three days,0
The verdict was read aloud,0
The defendant was found not guilty,0
The plaintiff withdrew the complaint,0
Both sides agreed to a settlement,0
The case was dismissed,0
The appeal was filed last month,0
The court will hear arguments next week,0
The lawyer made his closing statement,0
The witness took the stand,0
The evidence was presented to the jury,0
The judge instructed the jury,0
The bailiff escorted the defendant,0
The courtroom was packed,0
Reporters waited outside,0
The family issued a statement,0
The company released a press release,0
The board met in closed session,0
The committee reviewed the proposal,0
The motion was seconded,0
The amendment was tabled,0
The resolution passed by a narrow margin,0
The mayor thanked the council,0
The council thanked the staff,0
The meeting was productive,0
Everyone agreed to reconvene next month,0
The agenda was approved,0
The minutes were read,0
The treasurer gave her report,0
The budget was balanced,0
Revenue exceeded expectations,0
Expenses were under budget,0
The project is on schedule,0
The contractor will begin work next week,0
The permit was approved,0
The zoning change was controversial,0
Neighbors expressed concerns,0
The developer addressed the concerns,0
The plan was revised,0
A compromise was reached,0
Both sides were satisfied,0
The agreement was signed,0
The ceremony was held at city hall,0
Dozens of people attended,0
The mayor cut the ribbon,0
The new park opened to the public,0
Children played on the playground,0
Families enjoyed the picnic area,0
The weather was perfect,0
The event was a success,0
